Catégorie : Toutes catégories

Mois,same-sex marriage: (États-Unis)
2004-01,36
2004-02,100
2004-03,81
2004-04,70
2004-05,77
2004-06,39
2004-07,49
2004-08,27
2004-09,33
2004-10,62
2004-11,74
2004-12,48
2005-01,23
2005-02,42
2005-03,45
2005-04,38
2005-05,40
2005-06,23
2005-07,26
2005-08,10
2005-09,27
2005-10,27
2005-11,47
2005-12,24
2006-01,24
2006-02,25
2006-03,39
2006-04,35
2006-05,21
2006-06,23
2006-07,23
2006-08,9
2006-09,12
2006-10,37
2006-11,57
2006-12,31
2007-01,13
2007-02,22
2007-03,22
2007-04,32
2007-05,24
2007-06,16
2007-07,11
2007-08,12
2007-09,17
2007-10,16
2007-11,33
2007-12,17
2008-01,16
2008-02,23
2008-03,21
2008-04,29
2008-05,35
2008-06,25
2008-07,16
2008-08,13
2008-09,14
2008-10,38
2008-11,68
2008-12,32
2009-01,15
2009-02,21
2009-03,28
2009-04,55
2009-05,45
2009-06,23
2009-07,15
2009-08,11
2009-09,12
2009-10,20
2009-11,33
2009-12,28
2010-01,19
2010-02,21
2010-03,24
2010-04,31
2010-05,21
2010-06,12
2010-07,7
2010-08,12
2010-09,12
2010-10,16
2010-11,22
2010-12,13
2011-01,11
2011-02,21
2011-03,23
2011-04,22
2011-05,22
2011-06,38
2011-07,17
2011-08,10
2011-09,11
2011-10,18
2011-11,21
2011-12,21
2012-01,16
2012-02,33
2012-03,21
2012-04,23
2012-05,59
2012-06,17
2012-07,19
2012-08,18
2012-09,21
2012-10,31
2012-11,52
2012-12,28
2013-01,22
2013-02,24
2013-03,50
2013-04,52
2013-05,40
2013-06,34
2013-07,27
2013-08,17
2013-09,22
2013-10,29
2013-11,40
2013-12,37
2014-01,26
2014-02,36
2014-03,29
2014-04,31
2014-05,34
2014-06,24
2014-07,14
2014-08,10
2014-09,13
2014-10,32
2014-11,20
2014-12,18
2015-01,17
2015-02,18
2015-03,16
2015-04,21
2015-05,16
2015-06,51
2015-07,21
2015-08,9
2015-09,19
2015-10,11
2015-11,10
2015-12,8
2016-01,8
2016-02,10
2016-03,9
2016-04,11
2016-05,6
2016-06,5
2016-07,4
2016-08,2
2016-09,5
2016-10,7
2016-11,9
2016-12,6
2017-01,6
2017-02,8
2017-03,7
2017-04,7
2017-05,5
2017-06,5
2017-07,4
2017-08,4
2017-09,5
2017-10,5
2017-11,7
2017-12,6
2018-01,4
2018-02,5
2018-03,5
2018-04,6
2018-05,5
2018-06,4
2018-07,4
2018-08,4
2018-09,5
2018-10,6
2018-11,6
2018-12,4
2019-01,4
2019-02,5
2019-03,4
2019-04,6
2019-05,5
2019-06,6
2019-07,3
2019-08,2
2019-09,5
2019-10,5
2019-11,6
2019-12,4
2020-01,4
2020-02,4
2020-03,4
2020-04,5
2020-05,4
2020-06,5
2020-07,4
2020-08,3
2020-09,5
2020-10,12
2020-11,6
2020-12,4
2021-01,3
2021-02,4
2021-03,6
2021-04,6
2021-05,4
2021-06,4
2021-07,3
2021-08,2
2021-09,4
2021-10,6
2021-11,6
2021-12,5
2022-01,3
2022-02,5
2022-03,4
2022-04,5
