_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,year,id,keywords
2000-02-26,You Sang To Me,Marc Anthony,2,32,"['american', 'ballad', 'latin', 'latin pop', 'pop', 'rock', 'salsa']",You Sang To Me,spotify:track:2dwhMQsFeHr2S787WxqAqW,2000,You_Sang_To_Me_by_Marc_Anthony,"american, ballad, latin, latin pop, pop, rock, salsa"
2000-03-11,The Way You Love Me,Faith Hill,6,56,"['adult contemporary', 'christmas music', 'contemporary country', 'country', 'country pop', 'pop']",The Way You Love Me,spotify:track:6vgN6KGstss0GnBbKlMNK9,2000,The_Way_You_Love_Me_by_Faith_Hill,"adult contemporary, christmas music, contemporary country, country, country pop, pop"
2000-03-18,Try Again,Aaliyah,1,32,"['contemporary r&b', 'death by plane crash', 'hip hop', 'hip hop rnb and dance hall', 'neo soul', 'neo-soul', 'pop', 'pop rap', 'pop soul', 'r&b', 'rock', 'soul']",Unknown,Unknown,2000,Try_Again_by_Aaliyah,"contemporary r&b, death by plane crash, hip hop, hip hop rnb and dance hall, neo soul, neo-soul, pop, pop rap, pop soul, r&b, rock, soul"
2000-04-01,Be With You,Enrique Iglesias,1,20,"['adult contemporary', 'ballad', 'dance', 'dance-pop', 'electro house', 'electropop', 'european', 'latin pop', 'pop', 'pop and chart', 'reggaeton', 'spanish']",Be With You,spotify:track:1lZ4j5WBURBwZ0M5TT46wP,2000,Be_With_You_by_Enrique_Iglesias,"adult contemporary, ballad, dance, dance-pop, electro house, electropop, european, latin pop, pop, pop and chart, reggaeton, spanish"
2000-04-08,Kryptonite,3 Doors Down,3,53,"['acoustic rock', 'alternative metal', 'alternative rock', 'hard rock', 'pop rock', 'post-grunge', 'rock', 'southern rock']",Kryptonite,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,2000,Kryptonite_by_3_Doors_Down,"acoustic rock, alternative metal, alternative rock, hard rock, pop rock, post-grunge, rock, southern rock"
2000-04-15,I Turn To You,Christina Aguilera,3,22,"['adult contemporary', 'contemporary r&b', 'dance-pop', 'electropop', 'pop', 'pop and chart', 'rock', 'soul', 'teen pop']",I Turn To You,spotify:track:4Do68W4FWO2hRAJCzG1lus,2000,I_Turn_To_You_by_Christina_Aguilera,"adult contemporary, contemporary r&b, dance-pop, electropop, pop, pop and chart, rock, soul, teen pop"
2000-04-29,Back Here,BBMak,13,31,Unknown,Back Here,spotify:track:6znv7i4Wif5fLwI6OjKHZ4,2000,Back_Here_by_BBMak,Unknown
2000-04-29,Bent,matchbox twenty,1,39,"['alternative rock', 'american', 'pop rock', 'post-grunge', 'rock', 'rock and indie']",Bent,spotify:track:6fA7akEuTUL3dW1V0GELaZ,2000,Bent_by_matchbox_twenty,"alternative rock, american, pop rock, post-grunge, rock, rock and indie"
2000-05-06,The Real Slim Shady,Eminem,4,19,"['2008 universal fire victim', '8 mile', 'american', 'boom bap', 'comedy rap', 'detroit', 'detroit hip hop', 'detroit hip-hop', 'eminem', 'english', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip-hop', 'hiphop', 'horrorcore', 'kun', 'midwest hip hop', 'midwest hip-hop', 'pop and chart', 'pop rap', 'rap', 'rapper', 'relic inn', 'turkish', 'us', 'v']",The Real Slim Shady,spotify:track:3yfqSUWxFvZELEM4PmlwIR,2000,The_Real_Slim_Shady_by_Eminem,"2008 universal fire victim, 8 mile, american, boom bap, comedy rap, detroit, detroit hip hop, detroit hip-hop, eminem, english, gangsta rap, hardcore hip hop, hip hop, hip-hop, hiphop, horrorcore, kun, midwest hip hop, midwest hip-hop, pop and chart, pop rap, rap, rapper, relic inn, turkish, us, v"
2000-05-13,I Hope You Dance,Lee Ann Womack,14,48,"['2008 universal fire victim', 'adult contemporary', 'contemporary country', 'country']",I Hope You Dance,spotify:track:65B1tEOv5W294uCKbmEcFV,2000,I_Hope_You_Dance_by_Lee_Ann_Womack,"2008 universal fire victim, adult contemporary, contemporary country, country"
2000-05-13,With Arms Wide Open,Creed,1,47,"['alternative rock', 'american', 'hard rock', 'pop rock', 'post-grunge', 'rock']",With Arms Wide Open,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,2000,With_Arms_Wide_Open_by_Creed,"alternative rock, american, hard rock, pop rock, post-grunge, rock"
2000-05-27,Wifey,Next,7,21,['hip hop rnb and dance hall'],Wifey,spotify:track:1NNDZc9BHaWe9JqIsPRlNV,2000,Wifey_by_Next,hip hop rnb and dance hall
2000-05-27,I Need You,LeAnn Rimes,11,25,"['adult contemporary', 'classic pop and rock', 'contemporary country', 'country', 'country pop', 'pop']",I Need You,spotify:track:046MBhhgQJJghnbgZCkaAR,2000,I_Need_You_by_LeAnn_Rimes,"adult contemporary, classic pop and rock, contemporary country, country, country pop, pop"
2000-06-24,Incomplete,Sisqo,1,26,"['american', 'contemporary r&b', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'r&b']",Incomplete,spotify:track:3w8Mw9GHYepoTWOSdiyosj,2000,Incomplete_by_Sisqo,"american, contemporary r&b, hip hop, hip hop rnb and dance hall, pop, r&b"
2000-07-01,No More,Ruff Endz,5,26,Unknown,No More,spotify:track:2WfhlEjoUII31H6imnQdvF,2000,No_More_by_Ruff_Endz,Unknown
2000-07-08,Wonderful,Everclear,11,21,"['alternative rock', 'american', 'grunge', 'pop rock', 'post-grunge', 'power pop', 'rock']",Wonderful,spotify:track:0WHOPmOuQKuu05k4g3UTvk,2000,Wonderful_by_Everclear,"alternative rock, american, grunge, pop rock, post-grunge, power pop, rock"
2000-07-29,Dance With Me,Debelah Morgan,8,29,Unknown,Dance With Me,spotify:track:1C2Q3AymKS17bw7T5gfq6p,2000,Dance_With_Me_by_Debelah_Morgan,Unknown
2000-08-12,Music,Madonna,1,24,"['american', 'américain', 'arabic', 'art pop', 'chanteur', 'dance', 'dance-pop', 'downtempo', 'electronic', 'electropop', 'greatest hits', 'jazz', 'multiple ipi', 'pop', 'pop and chart', 'secret', 'singer', 'tell me', 'usa']",Music,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,2000,Music_by_Madonna,"american, américain, arabic, art pop, chanteur, dance, dance-pop, downtempo, electronic, electropop, greatest hits, jazz, multiple ipi, pop, pop and chart, secret, singer, tell me, usa"
2000-08-12,Shake Ya Ass,Mystikal,13,20,['hip hop'],Shake Ya Ass,spotify:track:1jRzdY7oUBOhrylNtiMtBD,2000,Shake_Ya_Ass_by_Mystikal,hip hop
2000-08-19,Bag Lady,Erykah Badu,6,20,"['acid jazz', 'contemporary r&b', 'funk', 'funk soul', 'hip hop', 'jazz', 'neo-soul', 'soul', 'soul and reggae']",Bag Lady,spotify:track:7BgUcOjSOlKJXASLgJ6bx1,2000,Bag_Lady_by_Erykah_Badu,"acid jazz, contemporary r&b, funk, funk soul, hip hop, jazz, neo-soul, soul, soul and reggae"
2000-09-09,Gotta Tell You,Samantha Mumba,4,22,['r&b'],Gotta Tell You,spotify:track:7ccz9p1ErD6Kq5ZSQmyvLm,2000,Gotta_Tell_You_by_Samantha_Mumba,r&b
2000-09-09,Pinch Me,Barenaked Ladies,15,21,"['alternative rock', 'canadian', 'classic pop and rock', 'college rock', 'comedy rock', 'power pop', 'rock']",Pinch Me,spotify:track:2RQ3fWFZJJe4G5KkHEACww,2000,Pinch_Me_by_Barenaked_Ladies,"alternative rock, canadian, classic pop and rock, college rock, comedy rock, power pop, rock"
2000-09-16,Between Me And You,Ja Rule Featuring Christina Milian,11,20,"['american', 'hip hop rnb and dance hall', 'pop', 'r&b', 'rnb']",Between Me And You,spotify:track:4xwRtK6tfMp4yZwcDvY0gT,2000,Between_Me_And_You_by_Ja_Rule_Featuring_Christina_Milian,"american, hip hop rnb and dance hall, pop, r&b, rnb"
2000-09-16,Liar,Profyle,14,20,Unknown,Liar,spotify:track:18jS43nfrzTvN68Q9tkjDh,2000,Liar_by_Profyle,Unknown
2000-09-30,He Loves U Not,Dream,2,28,"['ambient', 'berlin school', 'classic pop and rock', 'electronic', 'european', 'film score', 'german', 'iswcs pending', 'kosmische musik', 'krautrock', 'lily', 'new age', 'progressive electronic', 'progressive rock', 'rock', 'synthesizer']",Unknown,Unknown,2000,He_Loves_U_Not_by_Dream,"ambient, berlin school, classic pop and rock, electronic, european, film score, german, iswcs pending, kosmische musik, krautrock, lily, new age, progressive electronic, progressive rock, rock, synthesizer"
2000-10-07,She Bangs,Ricky Martin,12,18,"['ballad', 'dance-pop', 'electro latino', 'electropop', 'latin', 'latin pop', 'pop', 'puerto rican']",She Bangs,spotify:track:1uPrIHgYztXSkkcts9jet8,2000,She_Bangs_by_Ricky_Martin,"ballad, dance-pop, electro latino, electropop, latin, latin pop, pop, puerto rican"
2000-10-14,Shape Of My Heart,Backstreet Boys,9,20,"['american', 'boy band', 'boy group', 'dance-pop', 'electropop', 'incomplete remix', 'pop', 'pop and chart', 'pop rock', 'teen pop']",Shape Of My Heart,spotify:track:35o9a4iAfLl5jRmqMX9c1D,2000,Shape_Of_My_Heart_by_Backstreet_Boys,"american, boy band, boy group, dance-pop, electropop, incomplete remix, pop, pop and chart, pop rock, teen pop"
2000-11-04,Crazy For This Girl,Evan And Jaron,15,23,Unknown,Crazy For This Girl,spotify:track:2gdt70w8DOCWGq1HdkgSUd,2000,Crazy_For_This_Girl_by_Evan_And_Jaron,Unknown
2000-11-18,Again,Lenny Kravitz,4,32,"['american', 'classic pop and rock', 'funk rock', 'funk-rock', 'hard rock', 'neo-psychedelia', 'pop rock', 'pop soul', 'psychedelic rock', 'psychedelic soul', 'rock', 'soft rock', 'soul']",Again,spotify:track:5c1QJAiC3773EwiZLwHf5x,2000,Again_by_Lenny_Kravitz,"american, classic pop and rock, funk rock, funk-rock, hard rock, neo-psychedelia, pop rock, pop soul, psychedelic rock, psychedelic soul, rock, soft rock, soul"
2000-12-02,South Side,Moby Featuring Gwen Stefani,14,32,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",South Side,spotify:track:49bUJjrC16NgnrgGS75Yan,2000,South_Side_by_Moby_Featuring_Gwen_Stefani,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
2000-12-02,Stronger,Britney Spears,11,15,"['american', 'américain', 'contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'if you seek amy', 'pop', 'pop and chart', 'teen pop', 'urban pop', 'usa']",Stronger,spotify:track:5QhBKPqsnX1uY9fZNaAtZg,2000,Stronger_by_Britney_Spears,"american, américain, contemporary r&b, dance, dance-pop, electro house, electropop, if you seek amy, pop, pop and chart, teen pop, urban pop, usa"
2000-12-23,Promise,Jagged Edge,9,21,Unknown,Promise,spotify:track:1X1KDnhTnb28tpJlgOV3lD,2000,Promise_by_Jagged_Edge,Unknown
2000-12-30,Angel,Shaggy Featuring Rayvon,1,28,Unknown,Angel,spotify:track:7FDV5ELOJHCGLe52AnttEd,2000,Angel_by_Shaggy_Featuring_Rayvon,Unknown
2001-01-06,Butterfly,Crazy Town,1,23,"['nu metal', 'rap rock']",Butterfly,spotify:track:4BggEwLhGfrbrl7JBhC8EC,2001,Butterfly_by_Crazy_Town,"nu metal, rap rock"
2001-01-06,Stutter,Joe Featuring Mystikal,1,26,['hip hop'],Stutter,spotify:track:7FWuzwapuKHTEyDJIcQOw3,2001,Stutter_by_Joe_Featuring_Mystikal,hip hop
2001-01-13,Stranger In My House,Tamia,10,21,['contemporary r&b'],Stranger In My House,spotify:track:08GOEVXupC6ECbulhPGQKm,2001,Stranger_In_My_House_by_Tamia,contemporary r&b
2001-01-13,Thank You,Dido,3,39,"['alternative rock', 'classic pop and rock', 'dance-pop', 'downtempo', 'electropop', 'folktronica', 'pop', 'singer', 'singer-songwriter', 'synthpop', 'thank you', 'trip hop', 'uk', 'united kingdom']",Thank You,spotify:track:751gBcu62kORDelX7FV0mM,2001,Thank_You_by_Dido,"alternative rock, classic pop and rock, dance-pop, downtempo, electropop, folktronica, pop, singer, singer-songwriter, synthpop, thank you, trip hop, uk, united kingdom"
2001-01-27,Jaded,Aerosmith,7,20,"['+usa (massachusetts:boston)', '2008 universal fire victim', 'album rock', 'american', 'arena rock', 'blues rock', 'blues-rock', 'classic pop and rock', 'classic rock. blues rock', 'contemporary pop/rock', 'hard rock', 'heavy metal', 'medley a b', 'metal', 'pop rock', 'pop-metal', 'rock', 'soft rock']",Jaded,spotify:track:4iihDHIoKZdOeOW1kFDUtR,2001,Jaded_by_Aerosmith,"+usa (massachusetts:boston), 2008 universal fire victim, album rock, american, arena rock, blues rock, blues-rock, classic pop and rock, classic rock. blues rock, contemporary pop/rock, hard rock, heavy metal, medley a b, metal, pop rock, pop-metal, rock, soft rock"
2001-01-27,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,13,20,"['adult contemporary', 'contemporary r&b', 'dance-pop', 'electropop', 'pop', 'pop and chart', 'rock', 'soul', 'teen pop']",Nobody Wants To Be Lonely,spotify:track:45cVyfWuMAg8RNxmkcpmy9,2001,Nobody_Wants_To_Be_Lonely_by_Ricky_Martin_Duet_With_Christina_Aguilera,"adult contemporary, contemporary r&b, dance-pop, electropop, pop, pop and chart, rock, soul, teen pop"
2001-02-10,Missing You,Case,4,22,Unknown,Missing You,spotify:track:0CmXXEwul09Kf8X68lPA5l,2001,Missing_You_by_Case,Unknown
2001-02-10,Hanging By A Moment,Lifehouse,2,54,"['2008 universal fire victim', 'alternative rock', 'pop rock', 'post-grunge', 'power pop', 'rock', 'soft rock']",Hanging By A Moment,spotify:track:0wqOReZDnrefefEsrIGeR4,2001,Hanging_By_A_Moment_by_Lifehouse,"2008 universal fire victim, alternative rock, pop rock, post-grunge, power pop, rock, soft rock"
2001-02-17,Drive,Incubus,9,39,"['acoustic rock', 'alternative metal', 'alternative metal share', 'alternative rock', 'american', 'funk metal', 'funk rock', 'indie rock', 'make yourself', 'metal', 'nu metal', 'pop rock', 'rock']",Drive,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,2001,Drive_by_Incubus,"acoustic rock, alternative metal, alternative metal share, alternative rock, american, funk metal, funk rock, indie rock, make yourself, metal, nu metal, pop rock, rock"
2001-02-24,Ride Wit Me,Nelly Featuring City Spud,3,29,['hip hop'],Ride Wit Me,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,2001,Ride_Wit_Me_by_Nelly_Featuring_City_Spud,hip hop
2001-03-03,Never Had A Dream Come True,S Club 7,10,20,"['british', 'english', 'pop', 'pop and chart', 'uk']",Never Had A Dream Come True,spotify:track:1rzssdgfZiGs7VAMsYN9SF,2001,Never_Had_A_Dream_Come_True_by_S_Club_7,"british, english, pop, pop and chart, uk"
2001-03-10,Follow Me,Uncle Kracker,5,33,"['american', 'classic pop and rock', 'country', 'country pop', 'country rock', 'hip hop', 'pop', 'pop rock', 'rap rock', 'rock']",Follow Me,spotify:track:4KoecuyOpZaNFZ0UqVsllc,2001,Follow_Me_by_Uncle_Kracker,"american, classic pop and rock, country, country pop, country rock, hip hop, pop, pop rock, rap rock, rock"
2001-03-17,All For You,Janet,1,22,"['2008 universal fire victim', 'dance', 'janet jackson escapade', 'janet-jackson', 'pop', 'pop and chart', 'soul', 'the queen']",Unknown,Unknown,2001,All_For_You_by_Janet,"2008 universal fire victim, dance, janet jackson escapade, janet-jackson, pop, pop and chart, soul, the queen"
2001-03-17,Bizounce,Olivia,15,14,Unknown,Bizounce,spotify:track:1eFwJoCJj6FoeUhx07CDys,2001,Bizounce_by_Olivia,Unknown
2001-04-28,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,2,33,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",Let Me Blow Ya Mind,spotify:track:3RmKpob8xzv1pzHEQrMJah,2001,Let_Me_Blow_Ya_Mind_by_Eve_Featuring_Gwen_Stefani,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
2001-05-19,Irresistible,Jessica Simpson,15,20,"['pop', 'pop and chart']",Irresistible,spotify:track:2TVSa07y6g3HRn4oLWv57M,2001,Irresistible_by_Jessica_Simpson,"pop, pop and chart"
2001-06-02,Where The Party At,Jagged Edge With Nelly,3,29,Unknown,Where The Party At,spotify:track:5mNV8Mz59bzyuQ53gTw0c0,2001,Where_The_Party_At_by_Jagged_Edge_With_Nelly,Unknown
2001-06-09,Fill Me In,Craig David,15,27,"['british', 'contemporary r&b', 'dance-pop', 'english', 'garage', 'pop', 'pop and chart', 'pop soul', 'r&b', 'soul', 'uk']",Fill Me In,spotify:track:0UzsDmdpw0Q14KU4hieQss,2001,Fill_Me_In_by_Craig_David,"british, contemporary r&b, dance-pop, english, garage, pop, pop and chart, pop soul, r&b, soul, uk"
2001-06-16,U Remind Me,Usher,1,24,"['contemporary r&b', 'hip hop rnb and dance hall', 'pop rap', 'soul']",U Remind Me,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,2001,U_Remind_Me_by_Usher,"contemporary r&b, hip hop rnb and dance hall, pop rap, soul"
2001-06-23,Loverboy,Mariah Carey Featuring Cameo,2,14,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",Unknown,Unknown,2001,Loverboy_by_Mariah_Carey_Featuring_Cameo,"adult contemporary, american, christmas music, contemporary r&b, dance-pop, english, girl, pop, pop and chart, pop soul, r&b, rnb, soul, whistle register"
2001-06-23,Someone To Call My Lover,Janet,3,20,"['2008 universal fire victim', 'dance', 'janet jackson escapade', 'janet-jackson', 'pop', 'pop and chart', 'soul', 'the queen']",Unknown,Unknown,2001,Someone_To_Call_My_Lover_by_Janet,"2008 universal fire victim, dance, janet jackson escapade, janet-jackson, pop, pop and chart, soul, the queen"
2001-07-14,Only Time,Enya,10,32,"['celtic', 'celtic new age', 'dance and electronica', 'enya', 'folk', 'instrumental', 'irish', 'new age', 'pop']",Only Time,spotify:track:6FLwmdmW77N1Pxb1aWsZmO,2001,Only_Time_by_Enya,"celtic, celtic new age, dance and electronica, enya, folk, instrumental, irish, new age, pop"
2001-07-28,Differences,Ginuwine,4,30,"['hip hop rnb and dance hall', 'r&b', 'soul']",Differences,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,2001,Differences_by_Ginuwine,"hip hop rnb and dance hall, r&b, soul"
2001-08-18,Because I Got High,Afroman,13,10,"['alternative hip hop', 'comedy rap', 'hip hop', 'hip hop rnb and dance hall', 'west coast hip hop']",Because I Got High,spotify:track:0rRboI6IRuGx56Dq3UdYY4,2001,Because_I_Got_High_by_Afroman,"alternative hip hop, comedy rap, hip hop, hip hop rnb and dance hall, west coast hip hop"
2001-08-18,Turn Off The Light,Nelly Furtado,5,25,"['2008 universal fire victim', 'canadian', 'euro/dance-pop', 'folk', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'pop and chart', 'r&b', 'rock']",Turn Off The Light,spotify:track:6mSr7KMaH41nPmIjCiyZzY,2001,Turn_Off_The_Light_by_Nelly_Furtado,"2008 universal fire victim, canadian, euro/dance-pop, folk, hip hop, hip hop rnb and dance hall, pop, pop and chart, r&b, rock"
2001-09-01,Ugly,Bubba Sparxxx,15,20,"['hip hop', 'hip hop rnb and dance hall']",Ugly,spotify:track:3NOq1Gpiy4KwDni8NhOmHQ,2001,Ugly_by_Bubba_Sparxxx,"hip hop, hip hop rnb and dance hall"
2001-09-01,Everywhere,Michelle Branch,12,20,"['alternative rock', 'country pop', 'pop rock', 'singer/songwriter']",Everywhere,spotify:track:1u0l8zWpQeMYStFkc2mLD7,2001,Everywhere_by_Michelle_Branch,"alternative rock, country pop, pop rock, singer/songwriter"
2001-09-08,You Rock My World,Michael Jackson,10,20,"['american', 'américain', 'blues', 'chanteur', 'classic pop and rock', 'composer', 'compositeur', 'contemporary r&b', 'contemporary rnb', 'cool', 'dance-pop', 'disco', 'funk', 'lyricist', 'michael-jackson', 'new jack swing', 'parolier', 'pop', 'pop rock', 'pop soul', 'post-disco', 'r&b', 'rhythm and blues', 'rnb', 'rock', 'singer', 'soul', 'united states', 'usa']",You Rock My World,spotify:track:1Lhwn4PqeGpM4LTVUowW76,2001,You_Rock_My_World_by_Michael_Jackson,"american, américain, blues, chanteur, classic pop and rock, composer, compositeur, contemporary r&b, contemporary rnb, cool, dance-pop, disco, funk, lyricist, michael-jackson, new jack swing, parolier, pop, pop rock, pop soul, post-disco, r&b, rhythm and blues, rnb, rock, singer, soul, united states, usa"
2001-09-08,How You Remind Me,Nickelback,1,49,"['alternative rock', 'canadian', 'death metal', 'electropop', 'funk rock', 'hard rock', 'music_for_people_who_dislike_music', 'pop and chart', 'pop rock', 'post-grunge', 'rock']",How You Remind Me,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,2001,How_You_Remind_Me_by_Nickelback,"alternative rock, canadian, death metal, electropop, funk rock, hard rock, music_for_people_who_dislike_music, pop and chart, pop rock, post-grunge, rock"
2001-09-08,Rock The Boat,Aaliyah,14,25,"['contemporary r&b', 'death by plane crash', 'hip hop', 'hip hop rnb and dance hall', 'neo soul', 'neo-soul', 'pop', 'pop rap', 'pop soul', 'r&b', 'rock', 'soul']",Rock The Boat,spotify:track:0K3tgQDfulexWyVVDrxqb7,2001,Rock_The_Boat_by_Aaliyah,"contemporary r&b, death by plane crash, hip hop, hip hop rnb and dance hall, neo soul, neo-soul, pop, pop rap, pop soul, r&b, rock, soul"
2001-09-22,U Got It Bad,Usher,1,32,"['contemporary r&b', 'hip hop rnb and dance hall', 'pop rap', 'soul']",U Got It Bad,spotify:track:7J41dYQolQJEtj3UmKLu5r,2001,U_Got_It_Bad_by_Usher,"contemporary r&b, hip hop rnb and dance hall, pop rap, soul"
2001-09-29,Hero,Enrique Iglesias,3,34,"['adult contemporary', 'ballad', 'dance', 'dance-pop', 'electro house', 'electropop', 'european', 'latin pop', 'pop', 'pop and chart', 'reggaeton', 'spanish']",Hero,spotify:track:24Gxm7Eh7tO83E26LG0CsY,2001,Hero_by_Enrique_Iglesias,"adult contemporary, ballad, dance, dance-pop, electro house, electropop, european, latin pop, pop, pop and chart, reggaeton, spanish"
2001-10-27,My Sacrifice,Creed,4,29,"['alternative rock', 'american', 'hard rock', 'pop rock', 'post-grunge', 'rock']",My Sacrifice,spotify:track:2VSbEXqs6NbNiZSTcHlIDR,2001,My_Sacrifice_by_Creed,"alternative rock, american, hard rock, pop rock, post-grunge, rock"
2001-11-03,In The End,Linkin Park,2,39,"['alt rock', 'alternative metal', 'alternative rock', 'american', 'américain', 'hip hop', 'industrial rock', 'metal', 'new metal', 'nu metal', 'nu-metal', 'pop rock', 'rap metal', 'rap rock', 'rapcore', 'rock', 'rock and indie', 'roxette', 'the greatest', 'united states', 'usa']",In The End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,2001,In_The_End_by_Linkin_Park,"alt rock, alternative metal, alternative rock, american, américain, hip hop, industrial rock, metal, new metal, nu metal, nu-metal, pop rock, rap metal, rap rock, rapcore, rock, rock and indie, roxette, the greatest, united states, usa"
2001-11-17,Always On Time,Ja Rule Featuring Ashanti,1,27,"['east coast hip hop', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip hop rnb and dance hall', 'pop rap']",Always On Time,spotify:track:4hrae8atte6cRlSC9a7VCO,2001,Always_On_Time_by_Ja_Rule_Featuring_Ashanti,"east coast hip hop, gangsta rap, hardcore hip hop, hip hop, hip hop rnb and dance hall, pop rap"
