_uri,id,_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri.1,year,keywords
2dwhMQsFeHr2S787WxqAqW,You_Sang_To_Me_by_Marc_Anthony,2000-02-26,You Sang To Me,Marc Anthony,2,32,"['american', 'ballad', 'latin', 'latin pop', 'pop', 'rock', 'salsa']",You Sang To Me,2dwhMQsFeHr2S787WxqAqW,2000,"american, ballad, latin, latin pop, pop, rock, salsa"
6vgN6KGstss0GnBbKlMNK9,The_Way_You_Love_Me_by_Faith_Hill,2000-03-11,The Way You Love Me,Faith Hill,6,56,"['adult contemporary', 'christmas music', 'contemporary country', 'country', 'country pop', 'pop']",The Way You Love Me,6vgN6KGstss0GnBbKlMNK9,2000,"adult contemporary, christmas music, contemporary country, country, country pop, pop"
Unknown,Try_Again_by_Aaliyah,2000-03-18,Try Again,Aaliyah,1,32,"['contemporary r&b', 'death by plane crash', 'hip hop', 'hip hop rnb and dance hall', 'neo soul', 'neo-soul', 'pop', 'pop rap', 'pop soul', 'r&b', 'rock', 'soul']",Unknown,Unknown,2000,"contemporary r&b, death by plane crash, hip hop, hip hop rnb and dance hall, neo soul, neo-soul, pop, pop rap, pop soul, r&b, rock, soul"
1lZ4j5WBURBwZ0M5TT46wP,Be_With_You_by_Enrique_Iglesias,2000-04-01,Be With You,Enrique Iglesias,1,20,"['adult contemporary', 'ballad', 'dance', 'dance-pop', 'electro house', 'electropop', 'european', 'latin pop', 'pop', 'pop and chart', 'reggaeton', 'spanish']",Be With You,1lZ4j5WBURBwZ0M5TT46wP,2000,"adult contemporary, ballad, dance, dance-pop, electro house, electropop, european, latin pop, pop, pop and chart, reggaeton, spanish"
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite_by_3_Doors_Down,2000-04-08,Kryptonite,3 Doors Down,3,53,"['acoustic rock', 'alternative metal', 'alternative rock', 'hard rock', 'pop rock', 'post-grunge', 'rock', 'southern rock']",Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,2000,"acoustic rock, alternative metal, alternative rock, hard rock, pop rock, post-grunge, rock, southern rock"
4Do68W4FWO2hRAJCzG1lus,I_Turn_To_You_by_Christina_Aguilera,2000-04-15,I Turn To You,Christina Aguilera,3,22,"['adult contemporary', 'contemporary r&b', 'dance-pop', 'electropop', 'pop', 'pop and chart', 'rock', 'soul', 'teen pop']",I Turn To You,4Do68W4FWO2hRAJCzG1lus,2000,"adult contemporary, contemporary r&b, dance-pop, electropop, pop, pop and chart, rock, soul, teen pop"
6znv7i4Wif5fLwI6OjKHZ4,Back_Here_by_BBMak,2000-04-29,Back Here,BBMak,13,31,Unknown,Back Here,6znv7i4Wif5fLwI6OjKHZ4,2000,Unknown
6fA7akEuTUL3dW1V0GELaZ,Bent_by_matchbox_twenty,2000-04-29,Bent,matchbox twenty,1,39,"['alternative rock', 'american', 'pop rock', 'post-grunge', 'rock', 'rock and indie']",Bent,6fA7akEuTUL3dW1V0GELaZ,2000,"alternative rock, american, pop rock, post-grunge, rock, rock and indie"
3yfqSUWxFvZELEM4PmlwIR,The_Real_Slim_Shady_by_Eminem,2000-05-06,The Real Slim Shady,Eminem,4,19,"['2008 universal fire victim', '8 mile', 'american', 'boom bap', 'comedy rap', 'detroit', 'detroit hip hop', 'detroit hip-hop', 'eminem', 'english', 'gangsta rap', 'hardcore hip hop', 'hip hop', 'hip-hop', 'hiphop', 'horrorcore', 'kun', 'midwest hip hop', 'midwest hip-hop', 'pop and chart', 'pop rap', 'rap', 'rapper', 'relic inn', 'turkish', 'us', 'v']",The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,2000,"2008 universal fire victim, 8 mile, american, boom bap, comedy rap, detroit, detroit hip hop, detroit hip-hop, eminem, english, gangsta rap, hardcore hip hop, hip hop, hip-hop, hiphop, horrorcore, kun, midwest hip hop, midwest hip-hop, pop and chart, pop rap, rap, rapper, relic inn, turkish, us, v"
65B1tEOv5W294uCKbmEcFV,I_Hope_You_Dance_by_Lee_Ann_Womack,2000-05-13,I Hope You Dance,Lee Ann Womack,14,48,"['2008 universal fire victim', 'adult contemporary', 'contemporary country', 'country']",I Hope You Dance,65B1tEOv5W294uCKbmEcFV,2000,"2008 universal fire victim, adult contemporary, contemporary country, country"
0eKyHwckh9vQb8ncZ2DXCs,With_Arms_Wide_Open_by_Creed,2000-05-13,With Arms Wide Open,Creed,1,47,"['alternative rock', 'american', 'hard rock', 'pop rock', 'post-grunge', 'rock']",With Arms Wide Open,0eKyHwckh9vQb8ncZ2DXCs,2000,"alternative rock, american, hard rock, pop rock, post-grunge, rock"
1NNDZc9BHaWe9JqIsPRlNV,Wifey_by_Next,2000-05-27,Wifey,Next,7,21,['hip hop rnb and dance hall'],Wifey,1NNDZc9BHaWe9JqIsPRlNV,2000,hip hop rnb and dance hall
046MBhhgQJJghnbgZCkaAR,I_Need_You_by_LeAnn_Rimes,2000-05-27,I Need You,LeAnn Rimes,11,25,"['adult contemporary', 'classic pop and rock', 'contemporary country', 'country', 'country pop', 'pop']",I Need You,046MBhhgQJJghnbgZCkaAR,2000,"adult contemporary, classic pop and rock, contemporary country, country, country pop, pop"
3w8Mw9GHYepoTWOSdiyosj,Incomplete_by_Sisqo,2000-06-24,Incomplete,Sisqo,1,26,"['american', 'contemporary r&b', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'r&b']",Incomplete,3w8Mw9GHYepoTWOSdiyosj,2000,"american, contemporary r&b, hip hop, hip hop rnb and dance hall, pop, r&b"
2WfhlEjoUII31H6imnQdvF,No_More_by_Ruff_Endz,2000-07-01,No More,Ruff Endz,5,26,Unknown,No More,2WfhlEjoUII31H6imnQdvF,2000,Unknown
0WHOPmOuQKuu05k4g3UTvk,Wonderful_by_Everclear,2000-07-08,Wonderful,Everclear,11,21,"['alternative rock', 'american', 'grunge', 'pop rock', 'post-grunge', 'power pop', 'rock']",Wonderful,0WHOPmOuQKuu05k4g3UTvk,2000,"alternative rock, american, grunge, pop rock, post-grunge, power pop, rock"
1C2Q3AymKS17bw7T5gfq6p,Dance_With_Me_by_Debelah_Morgan,2000-07-29,Dance With Me,Debelah Morgan,8,29,Unknown,Dance With Me,1C2Q3AymKS17bw7T5gfq6p,2000,Unknown
2BcOZ4vOeu2qZowIHrvTYy,Music_by_Madonna,2000-08-12,Music,Madonna,1,24,"['american', 'américain', 'arabic', 'art pop', 'chanteur', 'dance', 'dance-pop', 'downtempo', 'electronic', 'electropop', 'greatest hits', 'jazz', 'multiple ipi', 'pop', 'pop and chart', 'secret', 'singer', 'tell me', 'usa']",Music,2BcOZ4vOeu2qZowIHrvTYy,2000,"american, américain, arabic, art pop, chanteur, dance, dance-pop, downtempo, electronic, electropop, greatest hits, jazz, multiple ipi, pop, pop and chart, secret, singer, tell me, usa"
1jRzdY7oUBOhrylNtiMtBD,Shake_Ya_Ass_by_Mystikal,2000-08-12,Shake Ya Ass,Mystikal,13,20,['hip hop'],Shake Ya Ass,1jRzdY7oUBOhrylNtiMtBD,2000,hip hop
7BgUcOjSOlKJXASLgJ6bx1,Bag_Lady_by_Erykah_Badu,2000-08-19,Bag Lady,Erykah Badu,6,20,"['acid jazz', 'contemporary r&b', 'funk', 'funk soul', 'hip hop', 'jazz', 'neo-soul', 'soul', 'soul and reggae']",Bag Lady,7BgUcOjSOlKJXASLgJ6bx1,2000,"acid jazz, contemporary r&b, funk, funk soul, hip hop, jazz, neo-soul, soul, soul and reggae"
7ccz9p1ErD6Kq5ZSQmyvLm,Gotta_Tell_You_by_Samantha_Mumba,2000-09-09,Gotta Tell You,Samantha Mumba,4,22,['r&b'],Gotta Tell You,7ccz9p1ErD6Kq5ZSQmyvLm,2000,r&b
2RQ3fWFZJJe4G5KkHEACww,Pinch_Me_by_Barenaked_Ladies,2000-09-09,Pinch Me,Barenaked Ladies,15,21,"['alternative rock', 'canadian', 'classic pop and rock', 'college rock', 'comedy rock', 'power pop', 'rock']",Pinch Me,2RQ3fWFZJJe4G5KkHEACww,2000,"alternative rock, canadian, classic pop and rock, college rock, comedy rock, power pop, rock"
4xwRtK6tfMp4yZwcDvY0gT,Between_Me_And_You_by_Ja_Rule_Featuring_Christina_Milian,2000-09-16,Between Me And You,Ja Rule Featuring Christina Milian,11,20,"['american', 'hip hop rnb and dance hall', 'pop', 'r&b', 'rnb']",Between Me And You,4xwRtK6tfMp4yZwcDvY0gT,2000,"american, hip hop rnb and dance hall, pop, r&b, rnb"
18jS43nfrzTvN68Q9tkjDh,Liar_by_Profyle,2000-09-16,Liar,Profyle,14,20,Unknown,Liar,18jS43nfrzTvN68Q9tkjDh,2000,Unknown
Unknown,He_Loves_U_Not_by_Dream,2000-09-30,He Loves U Not,Dream,2,28,"['ambient', 'berlin school', 'classic pop and rock', 'electronic', 'european', 'film score', 'german', 'iswcs pending', 'kosmische musik', 'krautrock', 'lily', 'new age', 'progressive electronic', 'progressive rock', 'rock', 'synthesizer']",Unknown,Unknown,2000,"ambient, berlin school, classic pop and rock, electronic, european, film score, german, iswcs pending, kosmische musik, krautrock, lily, new age, progressive electronic, progressive rock, rock, synthesizer"
1uPrIHgYztXSkkcts9jet8,She_Bangs_by_Ricky_Martin,2000-10-07,She Bangs,Ricky Martin,12,18,"['ballad', 'dance-pop', 'electro latino', 'electropop', 'latin', 'latin pop', 'pop', 'puerto rican']",She Bangs,1uPrIHgYztXSkkcts9jet8,2000,"ballad, dance-pop, electro latino, electropop, latin, latin pop, pop, puerto rican"
35o9a4iAfLl5jRmqMX9c1D,Shape_Of_My_Heart_by_Backstreet_Boys,2000-10-14,Shape Of My Heart,Backstreet Boys,9,20,"['american', 'boy band', 'boy group', 'dance-pop', 'electropop', 'incomplete remix', 'pop', 'pop and chart', 'pop rock', 'teen pop']",Shape Of My Heart,35o9a4iAfLl5jRmqMX9c1D,2000,"american, boy band, boy group, dance-pop, electropop, incomplete remix, pop, pop and chart, pop rock, teen pop"
2gdt70w8DOCWGq1HdkgSUd,Crazy_For_This_Girl_by_Evan_And_Jaron,2000-11-04,Crazy For This Girl,Evan And Jaron,15,23,Unknown,Crazy For This Girl,2gdt70w8DOCWGq1HdkgSUd,2000,Unknown
5c1QJAiC3773EwiZLwHf5x,Again_by_Lenny_Kravitz,2000-11-18,Again,Lenny Kravitz,4,32,"['american', 'classic pop and rock', 'funk rock', 'funk-rock', 'hard rock', 'neo-psychedelia', 'pop rock', 'pop soul', 'psychedelic rock', 'psychedelic soul', 'rock', 'soft rock', 'soul']",Again,5c1QJAiC3773EwiZLwHf5x,2000,"american, classic pop and rock, funk rock, funk-rock, hard rock, neo-psychedelia, pop rock, pop soul, psychedelic rock, psychedelic soul, rock, soft rock, soul"
49bUJjrC16NgnrgGS75Yan,South_Side_by_Moby_Featuring_Gwen_Stefani,2000-12-02,South Side,Moby Featuring Gwen Stefani,14,32,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",South Side,49bUJjrC16NgnrgGS75Yan,2000,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
5QhBKPqsnX1uY9fZNaAtZg,Stronger_by_Britney_Spears,2000-12-02,Stronger,Britney Spears,11,15,"['american', 'américain', 'contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electropop', 'if you seek amy', 'pop', 'pop and chart', 'teen pop', 'urban pop', 'usa']",Stronger,5QhBKPqsnX1uY9fZNaAtZg,2000,"american, américain, contemporary r&b, dance, dance-pop, electro house, electropop, if you seek amy, pop, pop and chart, teen pop, urban pop, usa"
1X1KDnhTnb28tpJlgOV3lD,Promise_by_Jagged_Edge,2000-12-23,Promise,Jagged Edge,9,21,Unknown,Promise,1X1KDnhTnb28tpJlgOV3lD,2000,Unknown
7FDV5ELOJHCGLe52AnttEd,Angel_by_Shaggy_Featuring_Rayvon,2000-12-30,Angel,Shaggy Featuring Rayvon,1,28,Unknown,Angel,7FDV5ELOJHCGLe52AnttEd,2000,Unknown
4BggEwLhGfrbrl7JBhC8EC,Butterfly_by_Crazy_Town,2001-01-06,Butterfly,Crazy Town,1,23,"['nu metal', 'rap rock']",Butterfly,4BggEwLhGfrbrl7JBhC8EC,2001,"nu metal, rap rock"
7FWuzwapuKHTEyDJIcQOw3,Stutter_by_Joe_Featuring_Mystikal,2001-01-06,Stutter,Joe Featuring Mystikal,1,26,['hip hop'],Stutter,7FWuzwapuKHTEyDJIcQOw3,2001,hip hop
08GOEVXupC6ECbulhPGQKm,Stranger_In_My_House_by_Tamia,2001-01-13,Stranger In My House,Tamia,10,21,['contemporary r&b'],Stranger In My House,08GOEVXupC6ECbulhPGQKm,2001,contemporary r&b
751gBcu62kORDelX7FV0mM,Thank_You_by_Dido,2001-01-13,Thank You,Dido,3,39,"['alternative rock', 'classic pop and rock', 'dance-pop', 'downtempo', 'electropop', 'folktronica', 'pop', 'singer', 'singer-songwriter', 'synthpop', 'thank you', 'trip hop', 'uk', 'united kingdom']",Thank You,751gBcu62kORDelX7FV0mM,2001,"alternative rock, classic pop and rock, dance-pop, downtempo, electropop, folktronica, pop, singer, singer-songwriter, synthpop, thank you, trip hop, uk, united kingdom"
4iihDHIoKZdOeOW1kFDUtR,Jaded_by_Aerosmith,2001-01-27,Jaded,Aerosmith,7,20,"['+usa (massachusetts:boston)', '2008 universal fire victim', 'album rock', 'american', 'arena rock', 'blues rock', 'blues-rock', 'classic pop and rock', 'classic rock. blues rock', 'contemporary pop/rock', 'hard rock', 'heavy metal', 'medley a b', 'metal', 'pop rock', 'pop-metal', 'rock', 'soft rock']",Jaded,4iihDHIoKZdOeOW1kFDUtR,2001,"+usa (massachusetts:boston), 2008 universal fire victim, album rock, american, arena rock, blues rock, blues-rock, classic pop and rock, classic rock. blues rock, contemporary pop/rock, hard rock, heavy metal, medley a b, metal, pop rock, pop-metal, rock, soft rock"
45cVyfWuMAg8RNxmkcpmy9,Nobody_Wants_To_Be_Lonely_by_Ricky_Martin_Duet_With_Christina_Aguilera,2001-01-27,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,13,20,"['adult contemporary', 'contemporary r&b', 'dance-pop', 'electropop', 'pop', 'pop and chart', 'rock', 'soul', 'teen pop']",Nobody Wants To Be Lonely,45cVyfWuMAg8RNxmkcpmy9,2001,"adult contemporary, contemporary r&b, dance-pop, electropop, pop, pop and chart, rock, soul, teen pop"
0CmXXEwul09Kf8X68lPA5l,Missing_You_by_Case,2001-02-10,Missing You,Case,4,22,Unknown,Missing You,0CmXXEwul09Kf8X68lPA5l,2001,Unknown
0wqOReZDnrefefEsrIGeR4,Hanging_By_A_Moment_by_Lifehouse,2001-02-10,Hanging By A Moment,Lifehouse,2,54,"['2008 universal fire victim', 'alternative rock', 'pop rock', 'post-grunge', 'power pop', 'rock', 'soft rock']",Hanging By A Moment,0wqOReZDnrefefEsrIGeR4,2001,"2008 universal fire victim, alternative rock, pop rock, post-grunge, power pop, rock, soft rock"
7nnWIPM5hwE3DaUBkvOIpy,Drive_by_Incubus,2001-02-17,Drive,Incubus,9,39,"['acoustic rock', 'alternative metal', 'alternative metal share', 'alternative rock', 'american', 'funk metal', 'funk rock', 'indie rock', 'make yourself', 'metal', 'nu metal', 'pop rock', 'rock']",Drive,7nnWIPM5hwE3DaUBkvOIpy,2001,"acoustic rock, alternative metal, alternative metal share, alternative rock, american, funk metal, funk rock, indie rock, make yourself, metal, nu metal, pop rock, rock"
3Gf5nttwcX9aaSQXRWidEZ,Ride_Wit_Me_by_Nelly_Featuring_City_Spud,2001-02-24,Ride Wit Me,Nelly Featuring City Spud,3,29,['hip hop'],Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,2001,hip hop
1rzssdgfZiGs7VAMsYN9SF,Never_Had_A_Dream_Come_True_by_S_Club_7,2001-03-03,Never Had A Dream Come True,S Club 7,10,20,"['british', 'english', 'pop', 'pop and chart', 'uk']",Never Had A Dream Come True,1rzssdgfZiGs7VAMsYN9SF,2001,"british, english, pop, pop and chart, uk"
4KoecuyOpZaNFZ0UqVsllc,Follow_Me_by_Uncle_Kracker,2001-03-10,Follow Me,Uncle Kracker,5,33,"['american', 'classic pop and rock', 'country', 'country pop', 'country rock', 'hip hop', 'pop', 'pop rock', 'rap rock', 'rock']",Follow Me,4KoecuyOpZaNFZ0UqVsllc,2001,"american, classic pop and rock, country, country pop, country rock, hip hop, pop, pop rock, rap rock, rock"
Unknown,All_For_You_by_Janet,2001-03-17,All For You,Janet,1,22,"['2008 universal fire victim', 'dance', 'janet jackson escapade', 'janet-jackson', 'pop', 'pop and chart', 'soul', 'the queen']",Unknown,Unknown,2001,"2008 universal fire victim, dance, janet jackson escapade, janet-jackson, pop, pop and chart, soul, the queen"
1eFwJoCJj6FoeUhx07CDys,Bizounce_by_Olivia,2001-03-17,Bizounce,Olivia,15,14,Unknown,Bizounce,1eFwJoCJj6FoeUhx07CDys,2001,Unknown
3RmKpob8xzv1pzHEQrMJah,Let_Me_Blow_Ya_Mind_by_Eve_Featuring_Gwen_Stefani,2001-04-28,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,2,33,"['2008 universal fire victim', 'american', 'contemporary r&b', 'dance-pop', 'electropop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,2001,"2008 universal fire victim, american, contemporary r&b, dance-pop, electropop, new wave, no doubt, pop, pop and chart, pop rap, pop rock, rnb, rock, ska punk, united states"
2TVSa07y6g3HRn4oLWv57M,Irresistible_by_Jessica_Simpson,2001-05-19,Irresistible,Jessica Simpson,15,20,"['pop', 'pop and chart']",Irresistible,2TVSa07y6g3HRn4oLWv57M,2001,"pop, pop and chart"
5mNV8Mz59bzyuQ53gTw0c0,Where_The_Party_At_by_Jagged_Edge_With_Nelly,2001-06-02,Where The Party At,Jagged Edge With Nelly,3,29,Unknown,Where The Party At,5mNV8Mz59bzyuQ53gTw0c0,2001,Unknown
0UzsDmdpw0Q14KU4hieQss,Fill_Me_In_by_Craig_David,2001-06-09,Fill Me In,Craig David,15,27,"['british', 'contemporary r&b', 'dance-pop', 'english', 'garage', 'pop', 'pop and chart', 'pop soul', 'r&b', 'soul', 'uk']",Fill Me In,0UzsDmdpw0Q14KU4hieQss,2001,"british, contemporary r&b, dance-pop, english, garage, pop, pop and chart, pop soul, r&b, soul, uk"
2QsZVnbWVSjKMXK6K3uRBL,U_Remind_Me_by_Usher,2001-06-16,U Remind Me,Usher,1,24,"['contemporary r&b', 'hip hop rnb and dance hall', 'pop rap', 'soul']",U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,2001,"contemporary r&b, hip hop rnb and dance hall, pop rap, soul"
Unknown,Loverboy_by_Mariah_Carey_Featuring_Cameo,2001-06-23,Loverboy,Mariah Carey Featuring Cameo,2,14,"['adult contemporary', 'american', 'christmas music', 'contemporary r&b', 'dance-pop', 'english', 'girl', 'pop', 'pop and chart', 'pop soul', 'r&b', 'rnb', 'soul', 'whistle register']",Unknown,Unknown,2001,"adult contemporary, american, christmas music, contemporary r&b, dance-pop, english, girl, pop, pop and chart, pop soul, r&b, rnb, soul, whistle register"
Unknown,Someone_To_Call_My_Lover_by_Janet,2001-06-23,Someone To Call My Lover,Janet,3,20,"['2008 universal fire victim', 'dance', 'janet jackson escapade', 'janet-jackson', 'pop', 'pop and chart', 'soul', 'the queen']",Unknown,Unknown,2001,"2008 universal fire victim, dance, janet jackson escapade, janet-jackson, pop, pop and chart, soul, the queen"
6FLwmdmW77N1Pxb1aWsZmO,Only_Time_by_Enya,2001-07-14,Only Time,Enya,10,32,"['celtic', 'celtic new age', 'dance and electronica', 'enya', 'folk', 'instrumental', 'irish', 'new age', 'pop']",Only Time,6FLwmdmW77N1Pxb1aWsZmO,2001,"celtic, celtic new age, dance and electronica, enya, folk, instrumental, irish, new age, pop"
0Uyh92tLyb9JawG8lmWCzJ,Differences_by_Ginuwine,2001-07-28,Differences,Ginuwine,4,30,"['hip hop rnb and dance hall', 'r&b', 'soul']",Differences,0Uyh92tLyb9JawG8lmWCzJ,2001,"hip hop rnb and dance hall, r&b, soul"
0rRboI6IRuGx56Dq3UdYY4,Because_I_Got_High_by_Afroman,2001-08-18,Because I Got High,Afroman,13,10,"['alternative hip hop', 'comedy rap', 'hip hop', 'hip hop rnb and dance hall', 'west coast hip hop']",Because I Got High,0rRboI6IRuGx56Dq3UdYY4,2001,"alternative hip hop, comedy rap, hip hop, hip hop rnb and dance hall, west coast hip hop"
6mSr7KMaH41nPmIjCiyZzY,Turn_Off_The_Light_by_Nelly_Furtado,2001-08-18,Turn Off The Light,Nelly Furtado,5,25,"['2008 universal fire victim', 'canadian', 'euro/dance-pop', 'folk', 'hip hop', 'hip hop rnb and dance hall', 'pop', 'pop and chart', 'r&b', 'rock']",Turn Off The Light,6mSr7KMaH41nPmIjCiyZzY,2001,"2008 universal fire victim, canadian, euro/dance-pop, folk, hip hop, hip hop rnb and dance hall, pop, pop and chart, r&b, rock"
3NOq1Gpiy4KwDni8NhOmHQ,Ugly_by_Bubba_Sparxxx,2001-09-01,Ugly,Bubba Sparxxx,15,20,"['hip hop', 'hip hop rnb and dance hall']",Ugly,3NOq1Gpiy4KwDni8NhOmHQ,2001,"hip hop, hip hop rnb and dance hall"
1u0l8zWpQeMYStFkc2mLD7,Everywhere_by_Michelle_Branch,2001-09-01,Everywhere,Michelle Branch,12,20,"['alternative rock', 'country pop', 'pop rock', 'singer/songwriter']",Everywhere,1u0l8zWpQeMYStFkc2mLD7,2001,"alternative rock, country pop, pop rock, singer/songwriter"
1Lhwn4PqeGpM4LTVUowW76,You_Rock_My_World_by_Michael_Jackson,2001-09-08,You Rock My World,Michael Jackson,10,20,"['american', 'américain', 'blues', 'chanteur', 'classic pop and rock', 'composer', 'compositeur', 'contemporary r&b', 'contemporary rnb', 'cool', 'dance-pop', 'disco', 'funk', 'lyricist', 'michael-jackson', 'new jack swing', 'parolier', 'pop', 'pop rock', 'pop soul', 'post-disco', 'r&b', 'rhythm and blues', 'rnb', 'rock', 'singer', 'soul', 'united states', 'usa']",You Rock My World,1Lhwn4PqeGpM4LTVUowW76,2001,"american, américain, blues, chanteur, classic pop and rock, composer, compositeur, contemporary r&b, contemporary rnb, cool, dance-pop, disco, funk, lyricist, michael-jackson, new jack swing, parolier, pop, pop rock, pop soul, post-disco, r&b, rhythm and blues, rnb, rock, singer, soul, united states, usa"
0gmbgwZ8iqyMPmXefof8Yf,How_You_Remind_Me_by_Nickelback,2001-09-08,How You Remind Me,Nickelback,1,49,"['alternative rock', 'canadian', 'death metal', 'electropop', 'funk rock', 'hard rock', 'music_for_people_who_dislike_music', 'pop and chart', 'pop rock', 'post-grunge', 'rock']",How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,2001,"alternative rock, canadian, death metal, electropop, funk rock, hard rock, music_for_people_who_dislike_music, pop and chart, pop rock, post-grunge, rock"
